tac_code,manufacturer,model,device_type,operating_system,band_support,approved_date,status
770487,Realme,Realme X-45,smartphone,Android,GSM;WCDMA;LTE,2021-12-04,active
809570,Apple,iPad Mini 5,tablet,iOS,GSM;WCDMA;LTE,2020-04-08,active
629903,Samsung,Samsung X-93,tablet,Android,GSM;WCDMA;LTE;NR,2023-04-15,active
717889,Samsung,Samsung X-30,smartphone,Android,GSM;WCDMA;LTE;NR,2022-05-05,active
325772,Sierra Wireless,Sierra Wireless X-23,iot,Embedded Linux,GSM;WCDMA,2020-06-28,active
460663,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE,2023-02-18,active
407419,Netgear,Netgear X-83,router,Embedded Linux,GSM;WCDMA;LTE,2020-01-22,active
338968,Apple,iPad Mini 4,tablet,iOS,GSM;WCDMA;LTE,2023-11-27,active
482554,Xiaomi,Xiaomi X-36,smartphone,Android,GSM;WCDMA;LTE;NR,2025-11-21,active
174870,Samsung,Samsung X-78,tablet,Android,GSM;WCDMA;LTE;NR,2021-08-13,active
383060,SimCom,SimCom X-97,iot,RTOS,GSM;WCDMA,2020-04-27,active
133659,ZTE,ZTE X-44,router,Embedded Linux,GSM;WCDMA;LTE,2024-12-11,active
322955,Huawei,Huawei X-92,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2022-03-08,active
881177,Xiaomi,Xiaomi X-84,smartphone,Android,GSM;WCDMA;LTE;NR,2024-07-12,active
329974,SimCom,SimCom X-75,iot,RTOS,GSM;WCDMA;NR,2020-02-05,active
757924,Realme,Realme X-64,smartphone,Android,GSM;WCDMA;LTE;NR,2023-07-20,active
590785,Vivo,Vivo X-11,smartphone,Android,GSM;WCDMA;LTE;NR,2020-11-18,active
887352,Realme,Realme X-53,smartphone,Android,GSM;WCDMA;LTE,2023-03-15,active
103402,Sierra Wireless,Sierra Wireless X-74,iot,Embedded Linux,GSM;WCDMA;NR,2024-02-28,active
755674,Realme,Realme X-74,smartphone,Android,GSM;WCDMA;LTE;NR,2021-06-25,active
269396,Vivo,Vivo X-10,smartphone,Android,GSM;WCDMA;LTE;NR,2023-01-04,active
480612,Netgear,Netgear X-40,router,Embedded Linux,GSM;WCDMA;LTE,2024-02-03,active
867460,Samsung,Samsung X-78,smartphone,Android,GSM;WCDMA;LTE;NR,2021-11-16,active
676510,Vivo,Vivo X-87,smartphone,Android,GSM;WCDMA;LTE;NR,2021-09-25,active
865388,Lenovo,Lenovo X-61,tablet,Android,GSM;WCDMA;LTE;NR,2025-06-15,active
642717,Apple,iPhone 12,smartphone,iOS,GSM;WCDMA;LTE,2020-10-18,active
341292,Samsung,Samsung X-19,smartphone,Android,GSM;WCDMA;LTE;NR,2020-04-03,active
132938,Huawei,Huawei X-75,router,HarmonyOS,GSM;WCDMA;LTE,2025-08-07,active
665427,Vivo,Vivo X-83,smartphone,Android,GSM;WCDMA;LTE;NR,2023-07-07,active
198907,Oppo,Oppo X-55,smartphone,Android,GSM;WCDMA;LTE;NR,2023-12-02,active
806073,Apple,iPad Mini 5,tablet,iOS,GSM;WCDMA;LTE;NR,2020-04-07,active
299448,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE,2023-04-28,active
179046,Vivo,Vivo X-22,smartphone,Android,GSM;WCDMA;LTE,2024-01-03,active
890170,TP-Link,TP-Link X-62,router,Embedded Linux,GSM;WCDMA;LTE;NR,2021-07-02,active
272634,Oppo,Oppo X-43,smartphone,Android,GSM;WCDMA;LTE;NR,2023-05-14,active
830429,Telit,Telit X-29,iot,RTOS,GSM;WCDMA,2021-01-19,active
871476,Realme,Realme X-50,smartphone,Android,GSM;WCDMA;LTE,2024-08-17,active
994141,Samsung,Samsung X-75,smartphone,Android,GSM;WCDMA;LTE,2021-02-20,active
171262,Samsung,Samsung X-61,tablet,Android,GSM;WCDMA;LTE,2024-04-19,active
723398,Samsung,Samsung X-63,smartphone,Android,GSM;WCDMA;LTE;NR,2024-09-11,active
373432,Realme,Realme X-50,smartphone,Android,GSM;WCDMA;LTE,2023-03-22,active
776856,Xiaomi,Xiaomi X-19,smartphone,Android,GSM;WCDMA;LTE,2024-10-04,active
176819,Vivo,Vivo X-43,smartphone,Android,GSM;WCDMA;LTE,2022-02-08,active
487477,Oppo,Oppo X-79,smartphone,Android,GSM;WCDMA;LTE;NR,2024-11-17,active
